,track_id,start,duration,confidence
117,0KFAM8DHNyrJq4mcPQzPkR,57.83215,0.50443,0.595
118,0KFAM8DHNyrJq4mcPQzPkR,58.33658,0.49992,0.661
119,0KFAM8DHNyrJq4mcPQzPkR,58.8365,0.50003,0.66
120,0KFAM8DHNyrJq4mcPQzPkR,59.33652,0.49922,0.341
121,0KFAM8DHNyrJq4mcPQzPkR,59.83575,0.49928,0.153
122,0KFAM8DHNyrJq4mcPQzPkR,60.33503,0.49667,0.38
123,0KFAM8DHNyrJq4mcPQzPkR,60.8317,0.48655,0.593
124,0KFAM8DHNyrJq4mcPQzPkR,61.31825,0.47752,0.434
125,0KFAM8DHNyrJq4mcPQzPkR,61.79577,0.47068,0.341
126,0KFAM8DHNyrJq4mcPQzPkR,62.26644,0.46604,0.187
127,0KFAM8DHNyrJq4mcPQzPkR,62.73249,0.46803,0.095
128,0KFAM8DHNyrJq4mcPQzPkR,63.20052,0.4722,0.109
129,0KFAM8DHNyrJq4mcPQzPkR,63.67271,0.47943,0.136
130,0KFAM8DHNyrJq4mcPQzPkR,64.15214,0.48684,0.376
131,0KFAM8DHNyrJq4mcPQzPkR,64.63898,0.48916,0.286
132,0KFAM8DHNyrJq4mcPQzPkR,65.12814,0.49077,0.227
133,0KFAM8DHNyrJq4mcPQzPkR,65.61891,0.49146,0.251
134,0KFAM8DHNyrJq4mcPQzPkR,66.11037,0.48835,0.174
135,0KFAM8DHNyrJq4mcPQzPkR,66.59873,0.48346,0.135
136,0KFAM8DHNyrJq4mcPQzPkR,67.08219,0.47789,0.198
137,0KFAM8DHNyrJq4mcPQzPkR,67.56007,0.47584,0.706
138,0KFAM8DHNyrJq4mcPQzPkR,68.03591,0.47803,0.467
139,0KFAM8DHNyrJq4mcPQzPkR,68.51394,0.48377,0.471
140,0KFAM8DHNyrJq4mcPQzPkR,68.99771,0.48998,0.239
141,0KFAM8DHNyrJq4mcPQzPkR,69.48769,0.49512,0.225
142,0KFAM8DHNyrJq4mcPQzPkR,69.98281,0.49831,0.079
143,0KFAM8DHNyrJq4mcPQzPkR,70.48113,0.49737,0.073
144,0KFAM8DHNyrJq4mcPQzPkR,70.97849,0.49625,0.126
145,0KFAM8DHNyrJq4mcPQzPkR,71.47475,0.49714,0.328
146,0KFAM8DHNyrJq4mcPQzPkR,71.97189,0.49587,0.75
147,0KFAM8DHNyrJq4mcPQzPkR,72.46776,0.49155,0.623
148,0KFAM8DHNyrJq4mcPQzPkR,72.95931,0.4864,0.666
149,0KFAM8DHNyrJq4mcPQzPkR,73.4457,0.48198,0.689
150,0KFAM8DHNyrJq4mcPQzPkR,73.92768,0.482,0.564
151,0KFAM8DHNyrJq4mcPQzPkR,74.40968,0.48249,0.54
152,0KFAM8DHNyrJq4mcPQzPkR,74.89218,0.483,0.647
153,0KFAM8DHNyrJq4mcPQzPkR,75.37518,0.48528,0.62
154,0KFAM8DHNyrJq4mcPQzPkR,75.86046,0.48822,0.767
155,0KFAM8DHNyrJq4mcPQzPkR,76.34868,0.49224,0.458
156,0KFAM8DHNyrJq4mcPQzPkR,76.84092,0.49579,0.649
157,0KFAM8DHNyrJq4mcPQzPkR,77.33671,0.49842,0.592
158,0KFAM8DHNyrJq4mcPQzPkR,77.83513,0.50259,0.623
159,0KFAM8DHNyrJq4mcPQzPkR,78.33771,0.50936,0.779
160,0KFAM8DHNyrJq4mcPQzPkR,78.84708,0.51259,0.831
161,0KFAM8DHNyrJq4mcPQzPkR,79.35966,0.5331,0.591
162,0KFAM8DHNyrJq4mcPQzPkR,79.89276,0.57592,0.591
163,0KFAM8DHNyrJq4mcPQzPkR,80.46868,0.61874,0.591
164,0KFAM8DHNyrJq4mcPQzPkR,81.08742,0.66155,0.591
165,0KFAM8DHNyrJq4mcPQzPkR,81.74897,0.70437,0.591
166,0KFAM8DHNyrJq4mcPQzPkR,82.45334,0.72668,0.591
167,0KFAM8DHNyrJq4mcPQzPkR,83.18002,0.70912,0.541
168,0KFAM8DHNyrJq4mcPQzPkR,83.88914,0.70105,0.298
169,0KFAM8DHNyrJq4mcPQzPkR,84.59019,0.69624,0.552
170,0KFAM8DHNyrJq4mcPQzPkR,85.28643,0.69078,0.418
171,0KFAM8DHNyrJq4mcPQzPkR,85.97721,0.69255,0.168
172,0KFAM8DHNyrJq4mcPQzPkR,86.66976,0.69729,0.301
173,0KFAM8DHNyrJq4mcPQzPkR,87.36705,0.70041,0.836
174,0KFAM8DHNyrJq4mcPQzPkR,88.06745,0.70289,0.857
175,0KFAM8DHNyrJq4mcPQzPkR,88.77034,0.70966,0.543
176,0KFAM8DHNyrJq4mcPQzPkR,89.48,0.71448,0.367
177,0KFAM8DHNyrJq4mcPQzPkR,90.19448,0.71636,0.638
178,0KFAM8DHNyrJq4mcPQzPkR,90.91085,0.72035,0.445
179,0KFAM8DHNyrJq4mcPQzPkR,91.6312,0.72024,0.083
180,0KFAM8DHNyrJq4mcPQzPkR,92.35144,0.71735,0.376
181,0KFAM8DHNyrJq4mcPQzPkR,93.06878,0.72219,0.814
182,0KFAM8DHNyrJq4mcPQzPkR,93.79097,0.72398,0.757
183,0KFAM8DHNyrJq4mcPQzPkR,94.51495,0.72467,0.303
184,0KFAM8DHNyrJq4mcPQzPkR,95.23962,0.73299,0.488
185,0KFAM8DHNyrJq4mcPQzPkR,95.97261,0.73255,0.714
186,0KFAM8DHNyrJq4mcPQzPkR,96.70516,0.73202,0.828
187,0KFAM8DHNyrJq4mcPQzPkR,97.43719,0.74239,0.237
188,0KFAM8DHNyrJq4mcPQzPkR,98.17958,0.7486,0.52
189,0KFAM8DHNyrJq4mcPQzPkR,98.92818,0.74356,0.837
190,0KFAM8DHNyrJq4mcPQzPkR,99.67174,0.74163,0.678
191,0KFAM8DHNyrJq4mcPQzPkR,100.41337,0.73988,0.347
192,0KFAM8DHNyrJq4mcPQzPkR,101.15325,0.74089,0.152
193,0KFAM8DHNyrJq4mcPQzPkR,101.89414,0.74576,0.919
194,0KFAM8DHNyrJq4mcPQzPkR,102.6399,0.7441,0.97
195,0KFAM8DHNyrJq4mcPQzPkR,103.384,0.73576,0.852
196,0KFAM8DHNyrJq4mcPQzPkR,104.11976,0.73148,0.451
197,0KFAM8DHNyrJq4mcPQzPkR,104.85124,0.73719,0.768
198,0KFAM8DHNyrJq4mcPQzPkR,105.58843,0.74035,0.688
199,0KFAM8DHNyrJq4mcPQzPkR,106.32878,0.73547,0.6
200,0KFAM8DHNyrJq4mcPQzPkR,107.06425,0.72768,0.679
201,0KFAM8DHNyrJq4mcPQzPkR,107.79193,0.71934,0.532
202,0KFAM8DHNyrJq4mcPQzPkR,108.51128,0.71091,0.279
203,0KFAM8DHNyrJq4mcPQzPkR,109.22218,0.70805,0.47
204,0KFAM8DHNyrJq4mcPQzPkR,109.93024,0.69843,0.697
205,0KFAM8DHNyrJq4mcPQzPkR,110.62867,0.69128,0.024
206,0KFAM8DHNyrJq4mcPQzPkR,111.31994,0.69692,0.346
207,0KFAM8DHNyrJq4mcPQzPkR,112.01686,0.69833,0.006
208,0KFAM8DHNyrJq4mcPQzPkR,112.71519,0.7025,0.028
209,0KFAM8DHNyrJq4mcPQzPkR,113.41769,0.7139,0.877
210,0KFAM8DHNyrJq4mcPQzPkR,114.13159,0.71782,0.714
